time,latitude,longitude,depth,ph
2025-02-15,57.00085,5.88863,40.0,8.008020189202874
2025-02-15,57.00085,5.88863,50.0,8.007519533288109
2025-02-15,57.00085,5.99974,0.5,8.009692929561332
2025-02-15,57.00085,5.99974,1.5,8.009580953075918
2025-02-15,57.00085,5.99974,2.5,8.00949818727308
2025-02-15,57.00085,5.99974,5.0,8.009339027242433
2025-02-15,57.00085,5.99974,7.5,8.009203730334674
2025-02-15,57.00085,5.99974,10.0,8.009079826683566
2025-02-15,57.00085,5.99974,12.5,8.008961832283077
2025-02-15,57.00085,5.99974,15.0,8.008846272519282
2025-02-15,57.00085,5.99974,20.0,8.008616181000269
2025-02-15,57.00085,5.99974,25.0,8.00837402174652
2025-02-15,57.00085,5.99974,30.0,8.008033281456372
2025-02-15,57.00085,5.99974,40.0,8.007485305282733
2025-02-15,57.00085,6.11085,0.5,8.010385452993239
2025-02-15,57.00085,6.11085,1.5,8.01027189378014
2025-02-15,57.00085,6.11085,2.5,8.010186019574782
2025-02-15,57.00085,6.11085,5.0,8.010016635811661
2025-02-15,57.00085,6.11085,7.5,8.009872061912677
2025-02-15,57.00085,6.11085,10.0,8.009735354461604
2025-02-15,57.00085,6.11085,12.5,8.009600009845256
2025-02-15,57.00085,6.11085,15.0,8.009457379487849
2025-02-15,57.00085,6.11085,20.0,8.009097621135215
2025-02-15,57.00085,6.11085,25.0,8.00862879000573
2025-02-15,57.00085,6.11085,30.0,8.008047127861103
2025-02-15,57.00085,6.11085,40.0,8.007459710980692
2025-02-15,57.00085,6.22196,0.5,8.01147747039795
2025-02-15,57.00085,6.22196,1.5,8.011362056458477
2025-02-15,57.00085,6.22196,2.5,8.011272126001995
2025-02-15,57.00085,6.22196,5.0,8.011090112645464
2025-02-15,57.00085,6.22196,7.5,8.010929520326112
2025-02-15,57.00085,6.22196,10.0,8.010772551644738
2025-02-15,57.00085,6.22196,12.5,8.010596159180892
2025-02-15,57.00085,6.22196,15.0,8.010385620056379
2025-02-15,57.00085,6.22196,20.0,8.009916893569862
2025-02-15,57.00085,6.22196,25.0,8.009288362676937
2025-02-15,57.00085,6.22196,30.0,8.008599013989322
2025-02-15,57.00085,6.22196,40.0,8.00792022515856
2025-02-15,57.00085,6.22196,50.0,8.00741797507704
2025-02-15,57.00085,6.33307,0.5,8.012859344482422
2025-02-15,57.00085,6.33307,1.5,8.012742969014944
2025-02-15,57.00085,6.33307,2.5,8.012652031050878
2025-02-15,57.00085,6.33307,5.0,8.012465566961874
2025-02-15,57.00085,6.33307,7.5,8.012296314896005
2025-02-15,57.00085,6.33307,10.0,8.01210673170673
2025-02-15,57.00085,6.33307,12.5,8.011826329853752
2025-02-15,57.00085,6.33307,15.0,8.011369459035812
2025-02-15,57.00085,6.33307,20.0,8.010732761429168
2025-02-15,57.00085,6.33307,25.0,8.009829006383223
2025-02-15,57.00085,6.33307,30.0,8.008938802682014
2025-02-15,57.00085,6.33307,40.0,8.008361838008915
2025-02-15,57.00085,6.33307,50.0,8.007852830394334
2025-02-15,57.00085,6.44418,0.5,8.013945579528809
2025-02-15,57.00085,6.44418,1.5,8.01383209442153
2025-02-15,57.00085,6.44418,2.5,8.013744092143439
2025-02-15,57.00085,6.44418,5.0,8.013565587920912
2025-02-15,57.00085,6.44418,7.5,8.01340535918122
2025-02-15,57.00085,6.44418,10.0,8.013228669855144
2025-02-15,57.00085,6.44418,12.5,8.012988133131122
2025-02-15,57.00085,6.44418,15.0,8.012663598768283
2025-02-15,57.00085,6.44418,20.0,8.012166264602653
2025-02-15,57.00085,6.44418,25.0,8.011679020826724
2025-02-15,57.00085,6.44418,30.0,8.010919468265218
2025-02-15,57.00085,6.44418,40.0,8.010286627557965
2025-02-15,57.00085,6.44418,50.0,8.009806490238736
2025-02-15,57.00085,6.55529,0.5,8.013962515901044
2025-02-15,57.00085,6.55529,1.5,8.013848741737643
2025-02-15,57.00085,6.55529,2.5,8.013760823290221
2025-02-15,57.00085,6.55529,5.0,8.013587563264943
2025-02-15,57.00085,6.55529,7.5,8.01343280022556
2025-02-15,57.00085,6.55529,10.0,8.013270380179184
2025-02-15,57.00085,6.55529,12.5,8.013059070860532
2025-02-15,57.00085,6.55529,15.0,8.012740541002621
2025-02-15,57.00085,6.55529,20.0,8.012150716546133
2025-02-15,57.00085,6.55529,25.0,8.011591337793584
2025-02-15,57.00085,6.55529,30.0,8.010948600833496
2025-02-15,57.00085,6.55529,40.0,8.010339844074112
